Player ID,Player Name,Batting Style,Bowling Style,Playing Role,Test Batting Pos,ODI Batting Pos,T20I Batting Pos,Bowling Type
30939,Mulvantrai Himmatlal Mankad,Right hand Bat,Slow Left arm Orthodox,,Openers,,,Spin
29663,Motganhalli Laxminarsu Jaisimha,Right hand Bat,Right arm Offbreak,Opening Batter,Openers,,,Spin
33066,Sadagoppan Ramesh,Left hand Bat,Right arm Offbreak,Opening Batter,Openers,Openers,,Spin
33850,Dilip Narayan Sardesai,Right hand Bat,Right arm Bowler,Top order Batter,Openers,,,Unknown
30102,Zaheer Khan,Right hand Bat,Left arm Fast medium,Bowler,Tail,Tail,Tail,Left-arm Pacer
29646,Wasim Jaffer,Right hand Bat,Right arm Offbreak,Top order Batter,Openers,Openers,,Spin
34105,Javagal Srinath,Right hand Bat,Right arm Fast medium,Bowler,Tail,Tail,,Right-arm Pacer
554691,Axar Rajeshbhai Patel,Left hand Bat,Slow Left arm Orthodox,Allrounder,Tail,Middle Order,Middle Order,Spin
26184,Ajit Bhalchandra Agarkar,Right hand Bat,Right arm Fast,Bowler,Tail,Tail,Tail,Right-arm Pacer
31038,Kiran Shankar More,Right hand Bat,Legbreak,Wicketkeeper Batter,Tail,Tail,,Spin
720471,Ishan Pranav Kumar Pandey Kishan,Left hand Bat,Legbreak,Wicketkeeper Batter,Middle Order,Middle Order,Openers,Spin
33141,Ambati Thirupathi Rayudu,Right hand Bat,Right arm Offbreak,Middle order Batter,,Middle Order,Top Order,Spin
32242,Parthiv Ajay Patel,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,Middle Order,Openers,Openers,Spin
27667,Nariman Jamshedji Contractor,Left hand Bat,Right arm Medium,Opening Batter,Openers,,,Right-arm Pacer
398438,Mayank Anurag Agarawal,Right hand Bat,Right arm Offbreak,Batter,Openers,Openers,,Spin
290716,Kedar Mahadav Jadhav,Right hand Bat,Right arm Offbreak,Batting Allrounder,,Middle Order,Middle Order,Spin
26948,Roger Michael Humphrey Binny,Right hand Bat,Right arm Medium,Bowling Allrounder,Tail,Tail,,Right-arm Pacer
30873,Madan Lal Udhouram Sharma,Right hand Bat,Right arm Medium,Bowler,Tail,Tail,,Right-arm Pacer
31760,Rameshchandra Gangaram Nadkarni,Left hand Bat,Slow Left arm Orthodox,Allrounder,Tail,,,Spin
279810,Wriddhiman Prasanta Saha,Right hand Bat,,Wicketkeeper Batter,Middle Order,Middle Order,,Unknown
425943,Sanju Viswanath Samson,Right hand Bat,,Wicketkeeper Batter,,Middle Order,Middle Order,Unknown
28010,Shiv Sunder Das,Right hand Bat,Right arm Medium,Opening Batter,Openers,Top Order,,Right-arm Pacer
290630,Manish Krishnanand Pandey,Right hand Bat,Right arm Medium,Top order Batter,,Middle Order,Middle Order,Right-arm Pacer
31034,Dinesh Mongia,Left hand Bat,Slow Left arm Orthodox,Allrounder,,Middle Order,Top Order,Spin
34174,Rusi Framroze Surti,Left hand Bat,Left arm Medium,,Middle Order,,,Left-arm Pacer
32309,Dattatraya Gajanan Phadkar,Right hand Bat,"Right arm Fast medium, Right arm Offbreak",,Middle Order,,,All-rounder (Pace & Spin)
32231,Brijesh Pursuram Patel,Right hand Bat,Right arm Offbreak,Middle order Batter,Middle Order,Middle Order,,Spin
28118,Salim Aziz Durani,Left hand Bat,Slow Left arm Orthodox,Allrounder,Middle Order,,,Spin
35582,Robin Venu Uthappa,Right hand Bat,Right arm Medium,Batter,,Middle Order,Top Order,Right-arm Pacer
33062,Gulabrai Sipahimalani Ramchand,Right hand Bat,Right arm Medium fast,Allrounder,Middle Order,,,Right-arm Pacer
326016,Bhuvneshwar Kumar Singh,Right hand Bat,Right arm Medium,Bowler,Tail,Tail,Tail,Right-arm Pacer
26169,Syed Abid Ali,Right hand Bat,Right arm Medium fast,Bowler,Tail,Tail,,Right-arm Pacer
34085,Eknath Dhondu Solkar,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Allrounder,Middle Order,Middle Order,,All-rounder (Pace & Spin)
33058,Woorkeri Venkat Raman,Left hand Bat,Slow Left arm Orthodox,Opening Batter,Openers,Openers,,Spin
32498,Yusuf Khan Pathan,Right hand Bat,Right arm Offbreak,Allrounder,,Middle Order,Middle Order,Spin
